 Time Elapsed: 32.5s
 Current Slope: -2.181203
 Number of Data Points: 64
1: {36.0, 428.0}
2: {35.0, 470.0}
3: {36.0, 474.0}
4: {34.0, 461.0}
5: {36.0, 473.0}
6: {33.0, 473.0}
7: {36.0, 475.0}
8: {34.0, 474.0}
9: {35.0, 462.0}
10: {44.0, 472.0}
11: {40.0, 407.0}
12: {39.0, 477.0}
13: {45.0, 472.0}
14: {42.0, 477.0}
15: {41.0, 473.0}
16: {48.0, 471.0}
17: {43.0, 449.0}
18: {63.0, 472.0}
19: {44.0, 407.0}
20: {30.0, 469.0}
21: {45.0, 489.0}
22: {53.0, 466.0}
23: {52.0, 483.0}
24: {41.0, 467.0}
25: {49.0, 469.0}
26: {49.0, 407.0}
27: {44.0, 460.0}
28: {44.0, 471.0}
29: {45.0, 500.0}
30: {33.0, 478.0}
31: {38.0, 475.0}
32: {34.0, 500.0}
33: {39.0, 472.0}
34: {31.0, 480.0}
35: {30.0, 403.0}
36: {39.0, 463.0}
37: {34.0, 469.0}
38: {31.0, 478.0}
39: {21.0, 484.0}
40: {28.0, 491.0}
41: {20.0, 495.0}
42: {34.0, 499.0}
43: {24.0, 492.0}
44: {32.0, 506.0}
45: {30.0, 484.0}
46: {25.0, 512.0}
47: {26.0, 525.0}
48: {20.0, 527.0}
49: {23.0, 530.0}
50: {17.0, 541.0}
51: {21.0, 544.0}
52: {22.0, 551.0}
53: {21.0, 575.0}
54: {20.0, 491.0}
55: {18.0, 541.0}
56: {18.0, 547.0}
57: {16.0, 566.0}
58: {16.0, 516.0}
59: {16.0, 549.0}
60: {16.0, 545.0}
61: {14.0, 538.0}
62: {13.0, 542.0}
63: {11.0, 534.0}
64: {9.0, 483.0}
