 Time Elapsed: 25.0s
 Current Slope: -4.305835
 Number of Data Points: 40
1: {25.0, 400.0}
2: {28.0, 443.0}
3: {29.0, 407.0}
4: {26.0, 404.0}
5: {25.0, 407.0}
6: {25.0, 407.0}
7: {22.0, 406.0}
8: {26.0, 416.0}
9: {26.0, 413.0}
10: {29.0, 413.0}
11: {29.0, 456.0}
12: {26.0, 429.0}
13: {25.0, 458.0}
14: {27.0, 418.0}
15: {25.0, 419.0}
16: {24.0, 422.0}
17: {27.0, 422.0}
18: {24.0, 422.0}
19: {26.0, 470.0}
20: {22.0, 430.0}
21: {24.0, 435.0}
22: {23.0, 434.0}
23: {23.0, 443.0}
24: {21.0, 443.0}
25: {21.0, 445.0}
26: {20.0, 467.0}
27: {14.0, 451.0}
28: {15.0, 458.0}
29: {18.0, 458.0}
30: {17.0, 464.0}
31: {18.0, 464.0}
32: {17.0, 469.0}
33: {15.0, 472.0}
34: {14.0, 480.0}
35: {13.0, 481.0}
36: {13.0, 489.0}
37: {12.0, 492.0}
38: {12.0, 495.0}
39: {10.0, 511.0}
40: {9.0, 498.0}
