 Time Elapsed: 20.5s
 Current Slope: -4.107527
 Number of Data Points: 27
1: {30.0, 451.0}
2: {27.0, 415.0}
3: {26.0, 415.0}
4: {30.0, 414.0}
5: {25.0, 416.0}
6: {29.0, 418.0}
7: {27.0, 418.0}
8: {27.0, 420.0}
9: {24.0, 424.0}
10: {21.0, 427.0}
11: {21.0, 429.0}
12: {23.0, 435.0}
13: {22.0, 440.0}
14: {20.0, 437.0}
15: {19.0, 443.0}
16: {21.0, 449.0}
17: {20.0, 451.0}
18: {19.0, 456.0}
19: {13.0, 463.0}
20: {15.0, 465.0}
21: {14.0, 474.0}
22: {13.0, 481.0}
23: {13.0, 494.0}
24: {12.0, 495.0}
25: {10.0, 498.0}
26: {10.0, 496.0}
27: {9.0, 499.0}
