 Time Elapsed: 44.5s
 Current Slope: -0.1606001
 Number of Data Points: 89
1: {57.0, 384.0}
2: {81.0, 382.0}
3: {51.0, 422.0}
4: {54.0, 422.0}
5: {57.0, 388.0}
6: {53.0, 384.0}
7: {43.0, 381.0}
8: {48.0, 381.0}
9: {53.0, 382.0}
10: {57.0, 382.0}
11: {50.0, 381.0}
12: {57.0, 384.0}
13: {56.0, 382.0}
14: {44.0, 384.0}
15: {53.0, 384.0}
16: {42.0, 388.0}
17: {48.0, 391.0}
18: {48.0, 393.0}
19: {35.0, 436.0}
20: {48.0, 435.0}
21: {51.0, 394.0}
22: {55.0, 397.0}
23: {51.0, 396.0}
24: {44.0, 397.0}
25: {60.0, 400.0}
26: {49.0, 404.0}
27: {48.0, 404.0}
28: {44.0, 446.0}
29: {48.0, 431.0}
30: {61.0, 408.0}
31: {45.0, 407.0}
32: {41.0, 411.0}
33: {42.0, 418.0}
34: {33.0, 414.0}
35: {33.0, 415.0}
36: {31.0, 415.0}
37: {41.0, 418.0}
38: {30.0, 428.0}
39: {37.0, 424.0}
40: {34.0, 429.0}
41: {31.0, 429.0}
42: {33.0, 433.0}
43: {32.0, 439.0}
44: {34.0, 455.0}
45: {34.0, 442.0}
46: {33.0, 442.0}
47: {29.0, 443.0}
48: {29.0, 467.0}
49: {29.0, 485.0}
50: {34.0, 495.0}
51: {21.0, 458.0}
52: {26.0, 457.0}
53: {26.0, 464.0}
54: {26.0, 463.0}
55: {27.0, 463.0}
56: {20.0, 465.0}
57: {26.0, 470.0}
58: {24.0, 467.0}
59: {25.0, 464.0}
60: {24.0, 463.0}
61: {19.0, 459.0}
62: {20.0, 456.0}
63: {21.0, 456.0}
64: {22.0, 449.0}
65: {21.0, 472.0}
66: {22.0, 450.0}
67: {22.0, 461.0}
68: {21.0, 459.0}
69: {21.0, 431.0}
70: {20.0, 420.0}
71: {20.0, 415.0}
72: {17.0, 406.0}
73: {20.0, 422.0}
74: {19.0, 402.0}
75: {17.0, 394.0}
76: {17.0, 387.0}
77: {16.0, 379.0}
78: {15.0, 368.0}
79: {15.0, 364.0}
80: {13.0, 359.0}
81: {14.0, 359.0}
82: {14.0, 349.0}
83: {13.0, 354.0}
84: {13.0, 353.0}
85: {13.0, 354.0}
86: {12.0, 354.0}
87: {12.0, 344.0}
88: {11.0, 343.0}
89: {9.0, 346.0}
