 Time Elapsed: 31.5s
 Current Slope: -1.2428099
 Number of Data Points: 62
1: {53.0, 345.0}
2: {50.0, 298.0}
3: {56.0, 302.0}
4: {46.0, 301.0}
5: {51.0, 297.0}
6: {48.0, 297.0}
7: {40.0, 297.0}
8: {40.0, 299.0}
9: {45.0, 297.0}
10: {48.0, 292.0}
11: {52.0, 297.0}
12: {28.0, 297.0}
13: {27.0, 296.0}
14: {32.0, 294.0}
15: {33.0, 297.0}
16: {30.0, 296.0}
17: {33.0, 294.0}
18: {30.0, 304.0}
19: {25.0, 296.0}
20: {28.0, 297.0}
21: {32.0, 305.0}
22: {32.0, 294.0}
23: {31.0, 320.0}
24: {29.0, 296.0}
25: {28.0, 298.0}
26: {27.0, 296.0}
27: {26.0, 337.0}
28: {26.0, 299.0}
29: {25.0, 298.0}
30: {25.0, 303.0}
31: {25.0, 299.0}
32: {24.0, 302.0}
33: {18.0, 303.0}
34: {22.0, 344.0}
35: {21.0, 308.0}
36: {21.0, 308.0}
37: {21.0, 311.0}
38: {23.0, 312.0}
39: {22.0, 313.0}
40: {21.0, 313.0}
41: {20.0, 319.0}
42: {21.0, 326.0}
43: {19.0, 323.0}
44: {19.0, 321.0}
45: {20.0, 322.0}
46: {19.0, 358.0}
47: {19.0, 322.0}
48: {18.0, 362.0}
49: {17.0, 373.0}
50: {17.0, 329.0}
51: {16.0, 335.0}
52: {16.0, 332.0}
53: {15.0, 332.0}
54: {14.0, 384.0}
55: {14.0, 334.0}
56: {13.0, 354.0}
57: {13.0, 364.0}
58: {12.0, 344.0}
59: {11.0, 345.0}
60: {10.0, 354.0}
61: {10.0, 348.0}
62: {9.0, 369.0}
