 Time Elapsed: 29.5s
 Current Slope: -2.1755457
 Number of Data Points: 58
1: {34.0, 506.0}
2: {34.0, 441.0}
3: {33.0, 505.0}
4: {32.0, 507.0}
5: {32.0, 506.0}
6: {40.0, 507.0}
7: {34.0, 504.0}
8: {34.0, 504.0}
9: {32.0, 504.0}
10: {34.0, 502.0}
11: {33.0, 505.0}
12: {31.0, 532.0}
13: {29.0, 507.0}
14: {33.0, 508.0}
15: {32.0, 507.0}
16: {23.0, 509.0}
17: {28.0, 509.0}
18: {27.0, 512.0}
19: {29.0, 514.0}
20: {26.0, 514.0}
21: {25.0, 516.0}
22: {29.0, 479.0}
23: {24.0, 515.0}
24: {24.0, 516.0}
25: {23.0, 518.0}
26: {22.0, 510.0}
27: {21.0, 518.0}
28: {20.0, 523.0}
29: {20.0, 520.0}
30: {20.0, 523.0}
31: {19.0, 526.0}
32: {19.0, 458.0}
33: {18.0, 531.0}
34: {18.0, 532.0}
35: {18.0, 530.0}
36: {17.0, 469.0}
37: {17.0, 537.0}
38: {17.0, 538.0}
39: {14.0, 545.0}
40: {13.0, 538.0}
41: {15.0, 521.0}
42: {15.0, 542.0}
43: {13.0, 544.0}
44: {14.0, 542.0}
45: {14.0, 568.0}
46: {14.0, 545.0}
47: {13.0, 547.0}
48: {13.0, 549.0}
49: {13.0, 548.0}
50: {13.0, 548.0}
51: {13.0, 574.0}
52: {13.0, 548.0}
53: {13.0, 552.0}
54: {10.0, 553.0}
55: {11.0, 553.0}
56: {10.0, 554.0}
57: {10.0, 557.0}
58: {9.0, 555.0}
