 Time Elapsed: 34.0s
 Current Slope: -3.5593657
 Number of Data Points: 67
1: {30.0, 446.0}
2: {30.0, 509.0}
3: {29.0, 517.0}
4: {27.0, 509.0}
5: {30.0, 505.0}
6: {29.0, 472.0}
7: {29.0, 506.0}
8: {24.0, 506.0}
9: {27.0, 506.0}
10: {34.0, 511.0}
11: {23.0, 511.0}
12: {23.0, 512.0}
13: {22.0, 522.0}
14: {18.0, 446.0}
15: {21.0, 465.0}
16: {23.0, 515.0}
17: {24.0, 513.0}
18: {24.0, 511.0}
19: {23.0, 538.0}
20: {25.0, 488.0}
21: {25.0, 445.0}
22: {25.0, 514.0}
23: {26.0, 514.0}
24: {29.0, 513.0}
25: {21.0, 511.0}
26: {27.0, 515.0}
27: {26.0, 512.0}
28: {27.0, 533.0}
29: {27.0, 513.0}
30: {26.0, 456.0}
31: {26.0, 517.0}
32: {24.0, 520.0}
33: {28.0, 520.0}
34: {23.0, 543.0}
35: {24.0, 460.0}
36: {22.0, 511.0}
37: {21.0, 525.0}
38: {21.0, 474.0}
39: {21.0, 472.0}
40: {20.0, 530.0}
41: {21.0, 530.0}
42: {17.0, 558.0}
43: {21.0, 544.0}
44: {19.0, 505.0}
45: {16.0, 542.0}
46: {20.0, 542.0}
47: {18.0, 542.0}
48: {17.0, 547.0}
49: {20.0, 543.0}
50: {21.0, 565.0}
51: {22.0, 543.0}
52: {21.0, 541.0}
53: {21.0, 543.0}
54: {20.0, 543.0}
55: {19.0, 546.0}
56: {19.0, 536.0}
57: {18.0, 516.0}
58: {17.0, 551.0}
59: {17.0, 553.0}
60: {16.0, 554.0}
61: {15.0, 564.0}
62: {15.0, 557.0}
63: {13.0, 559.0}
64: {11.0, 560.0}
65: {11.0, 562.0}
66: {10.0, 558.0}
67: {9.0, 587.0}
