 Time Elapsed: 25.5s
 Current Slope: -0.66545707
 Number of Data Points: 50
1: {51.0, 304.0}
2: {48.0, 304.0}
3: {47.0, 304.0}
4: {52.0, 301.0}
5: {60.0, 304.0}
6: {51.0, 304.0}
7: {42.0, 304.0}
8: {44.0, 305.0}
9: {38.0, 302.0}
10: {34.0, 300.0}
11: {38.0, 343.0}
12: {34.0, 300.0}
13: {30.0, 310.0}
14: {31.0, 297.0}
15: {28.0, 299.0}
16: {31.0, 296.0}
17: {23.0, 299.0}
18: {29.0, 325.0}
19: {26.0, 322.0}
20: {23.0, 339.0}
21: {27.0, 297.0}
22: {27.0, 298.0}
23: {23.0, 298.0}
24: {24.0, 301.0}
25: {20.0, 301.0}
26: {22.0, 309.0}
27: {21.0, 302.0}
28: {21.0, 305.0}
29: {21.0, 304.0}
30: {21.0, 304.0}
31: {20.0, 314.0}
32: {21.0, 338.0}
33: {20.0, 309.0}
34: {19.0, 310.0}
35: {19.0, 315.0}
36: {19.0, 335.0}
37: {18.0, 353.0}
38: {17.0, 320.0}
39: {17.0, 325.0}
40: {14.0, 323.0}
41: {15.0, 328.0}
42: {15.0, 325.0}
43: {14.0, 331.0}
44: {13.0, 329.0}
45: {12.0, 330.0}
46: {10.0, 358.0}
47: {11.0, 330.0}
48: {11.0, 333.0}
49: {10.0, 328.0}
50: {9.0, 331.0}
