 Time Elapsed: 35.5s
 Current Slope: -2.6492388
 Number of Data Points: 70
1: {30.0, 440.0}
2: {29.0, 512.0}
3: {30.0, 502.0}
4: {28.0, 500.0}
5: {30.0, 526.0}
6: {41.0, 500.0}
7: {34.0, 500.0}
8: {32.0, 502.0}
9: {33.0, 501.0}
10: {32.0, 501.0}
11: {27.0, 497.0}
12: {27.0, 502.0}
13: {26.0, 501.0}
14: {27.0, 500.0}
15: {23.0, 499.0}
16: {27.0, 503.0}
17: {27.0, 500.0}
18: {29.0, 440.0}
19: {27.0, 503.0}
20: {31.0, 518.0}
21: {29.0, 508.0}
22: {30.0, 528.0}
23: {27.0, 523.0}
24: {27.0, 508.0}
25: {21.0, 507.0}
26: {25.0, 504.0}
27: {25.0, 511.0}
28: {23.0, 507.0}
29: {27.0, 519.0}
30: {27.0, 499.0}
31: {27.0, 515.0}
32: {27.0, 520.0}
33: {27.0, 520.0}
34: {23.0, 519.0}
35: {23.0, 519.0}
36: {24.0, 521.0}
37: {22.0, 524.0}
38: {23.0, 526.0}
39: {23.0, 528.0}
40: {23.0, 527.0}
41: {22.0, 520.0}
42: {22.0, 533.0}
43: {18.0, 538.0}
44: {22.0, 502.0}
45: {20.0, 533.0}
46: {19.0, 538.0}
47: {20.0, 540.0}
48: {21.0, 541.0}
49: {17.0, 534.0}
50: {12.0, 535.0}
51: {19.0, 541.0}
52: {16.0, 539.0}
53: {20.0, 500.0}
54: {19.0, 560.0}
55: {18.0, 470.0}
56: {18.0, 541.0}
57: {19.0, 545.0}
58: {17.0, 546.0}
59: {16.0, 558.0}
60: {14.0, 544.0}
61: {16.0, 550.0}
62: {15.0, 568.0}
63: {14.0, 550.0}
64: {13.0, 552.0}
65: {13.0, 508.0}
66: {13.0, 556.0}
67: {11.0, 561.0}
68: {11.0, 558.0}
69: {10.0, 569.0}
70: {9.0, 552.0}
