 Time Elapsed: 33.5s
 Current Slope: -4.8716908
 Number of Data Points: 42
1: {28.0, 399.0}
2: {21.0, 413.0}
3: {30.0, 417.0}
4: {29.0, 422.0}
5: {30.0, 422.0}
6: {26.0, 426.0}
7: {29.0, 426.0}
8: {26.0, 430.0}
9: {26.0, 428.0}
10: {27.0, 430.0}
11: {25.0, 436.0}
12: {23.0, 457.0}
13: {22.0, 442.0}
14: {23.0, 440.0}
15: {23.0, 441.0}
16: {23.0, 443.0}
17: {23.0, 444.0}
18: {21.0, 475.0}
19: {20.0, 454.0}
20: {21.0, 454.0}
21: {15.0, 457.0}
22: {20.0, 458.0}
23: {19.0, 461.0}
24: {18.0, 463.0}
25: {18.0, 466.0}
26: {17.0, 477.0}
27: {18.0, 471.0}
28: {16.0, 474.0}
29: {16.0, 477.0}
30: {15.0, 519.0}
31: {15.0, 484.0}
32: {14.0, 523.0}
33: {14.0, 492.0}
34: {14.0, 486.0}
35: {13.0, 485.0}
36: {12.0, 493.0}
37: {12.0, 535.0}
38: {11.0, 522.0}
39: {11.0, 499.0}
40: {10.0, 498.0}
41: {10.0, 502.0}
42: {8.0, 497.0}
