 Time Elapsed: 27.0s
 Current Slope: -1.0733435
 Number of Data Points: 53
1: {21.0, 502.0}
2: {25.0, 503.0}
3: {23.0, 504.0}
4: {24.0, 437.0}
5: {23.0, 527.0}
6: {24.0, 500.0}
7: {12.0, 508.0}
8: {16.0, 472.0}
9: {12.0, 504.0}
10: {14.0, 499.0}
11: {13.0, 507.0}
12: {13.0, 532.0}
13: {13.0, 506.0}
14: {11.0, 504.0}
15: {13.0, 534.0}
16: {13.0, 508.0}
17: {11.0, 509.0}
18: {13.0, 508.0}
19: {17.0, 533.0}
20: {19.0, 514.0}
21: {20.0, 513.0}
22: {21.0, 505.0}
23: {22.0, 485.0}
24: {22.0, 529.0}
25: {20.0, 524.0}
26: {22.0, 523.0}
27: {18.0, 527.0}
28: {23.0, 526.0}
29: {23.0, 534.0}
30: {21.0, 559.0}
31: {22.0, 535.0}
32: {21.0, 535.0}
33: {21.0, 516.0}
34: {22.0, 536.0}
35: {21.0, 466.0}
36: {22.0, 533.0}
37: {21.0, 544.0}
38: {21.0, 534.0}
39: {21.0, 532.0}
40: {21.0, 538.0}
41: {20.0, 538.0}
42: {19.0, 503.0}
43: {18.0, 495.0}
44: {17.0, 539.0}
45: {16.0, 540.0}
46: {15.0, 548.0}
47: {14.0, 546.0}
48: {13.0, 481.0}
49: {12.0, 554.0}
50: {11.0, 550.0}
51: {11.0, 555.0}
52: {10.0, 554.0}
53: {9.0, 558.0}
