 Time Elapsed: 21.0s
 Current Slope: -0.75521046
 Number of Data Points: 41
1: {41.0, 304.0}
2: {68.0, 303.0}
3: {37.0, 300.0}
4: {59.0, 301.0}
5: {47.0, 308.0}
6: {51.0, 301.0}
7: {36.0, 301.0}
8: {48.0, 312.0}
9: {40.0, 300.0}
10: {35.0, 299.0}
11: {38.0, 310.0}
12: {35.0, 319.0}
13: {41.0, 301.0}
14: {34.0, 295.0}
15: {32.0, 298.0}
16: {30.0, 298.0}
17: {32.0, 344.0}
18: {34.0, 345.0}
19: {27.0, 295.0}
20: {27.0, 302.0}
21: {25.0, 299.0}
22: {24.0, 303.0}
23: {23.0, 304.0}
24: {22.0, 308.0}
25: {22.0, 309.0}
26: {22.0, 310.0}
27: {21.0, 310.0}
28: {20.0, 348.0}
29: {20.0, 316.0}
30: {19.0, 318.0}
31: {18.0, 362.0}
32: {17.0, 325.0}
33: {17.0, 322.0}
34: {16.0, 323.0}
35: {15.0, 327.0}
36: {14.0, 331.0}
37: {13.0, 335.0}
38: {13.0, 339.0}
39: {11.0, 341.0}
40: {11.0, 348.0}
41: {9.0, 346.0}
