 Time Elapsed: 19.0s
 Current Slope: -0.73762256
 Number of Data Points: 37
1: {37.0, 307.0}
2: {37.0, 307.0}
3: {36.0, 309.0}
4: {52.0, 304.0}
5: {44.0, 306.0}
6: {47.0, 307.0}
7: {39.0, 304.0}
8: {42.0, 301.0}
9: {38.0, 336.0}
10: {43.0, 304.0}
11: {35.0, 330.0}
12: {39.0, 339.0}
13: {35.0, 306.0}
14: {34.0, 340.0}
15: {34.0, 336.0}
16: {31.0, 302.0}
17: {31.0, 300.0}
18: {25.0, 300.0}
19: {26.0, 303.0}
20: {23.0, 303.0}
21: {20.0, 303.0}
22: {21.0, 303.0}
23: {21.0, 308.0}
24: {20.0, 307.0}
25: {22.0, 310.0}
26: {23.0, 311.0}
27: {21.0, 311.0}
28: {20.0, 321.0}
29: {19.0, 319.0}
30: {18.0, 373.0}
31: {17.0, 372.0}
32: {16.0, 328.0}
33: {13.0, 329.0}
34: {14.0, 330.0}
35: {13.0, 366.0}
36: {11.0, 336.0}
37: {9.0, 335.0}
