 Time Elapsed: 28.0s
 Current Slope: -4.6656227
 Number of Data Points: 36
1: {30.0, 396.0}
2: {29.0, 412.0}
3: {29.0, 415.0}
4: {27.0, 417.0}
5: {30.0, 417.0}
6: {29.0, 419.0}
7: {20.0, 421.0}
8: {21.0, 423.0}
9: {29.0, 421.0}
10: {28.0, 444.0}
11: {28.0, 427.0}
12: {27.0, 432.0}
13: {24.0, 430.0}
14: {24.0, 434.0}
15: {24.0, 433.0}
16: {23.0, 434.0}
17: {24.0, 438.0}
18: {22.0, 439.0}
19: {20.0, 444.0}
20: {22.0, 447.0}
21: {20.0, 447.0}
22: {21.0, 446.0}
23: {20.0, 455.0}
24: {19.0, 460.0}
25: {17.0, 479.0}
26: {17.0, 476.0}
27: {16.0, 470.0}
28: {16.0, 492.0}
29: {16.0, 494.0}
30: {15.0, 478.0}
31: {16.0, 481.0}
32: {14.0, 486.0}
33: {13.0, 489.0}
34: {13.0, 493.0}
35: {12.0, 499.0}
36: {9.0, 502.0}
