 Time Elapsed: 28.0s
 Current Slope: -3.8874588
 Number of Data Points: 44
1: {24.0, 399.0}
2: {27.0, 397.0}
3: {25.0, 399.0}
4: {28.0, 397.0}
5: {16.0, 395.0}
6: {19.0, 397.0}
7: {19.0, 438.0}
8: {11.0, 438.0}
9: {11.0, 441.0}
10: {17.0, 442.0}
11: {24.0, 404.0}
12: {29.0, 410.0}
13: {20.0, 412.0}
14: {30.0, 416.0}
15: {30.0, 416.0}
16: {30.0, 424.0}
17: {27.0, 454.0}
18: {27.0, 423.0}
19: {24.0, 423.0}
20: {25.0, 426.0}
21: {26.0, 428.0}
22: {24.0, 430.0}
23: {19.0, 434.0}
24: {22.0, 434.0}
25: {21.0, 438.0}
26: {22.0, 484.0}
27: {21.0, 448.0}
28: {19.0, 446.0}
29: {18.0, 456.0}
30: {14.0, 456.0}
31: {19.0, 458.0}
32: {17.0, 466.0}
33: {17.0, 480.0}
34: {16.0, 475.0}
35: {16.0, 473.0}
36: {15.0, 478.0}
37: {14.0, 485.0}
38: {11.0, 485.0}
39: {13.0, 490.0}
40: {12.0, 494.0}
41: {12.0, 495.0}
42: {12.0, 500.0}
43: {12.0, 497.0}
44: {9.0, 496.0}
