 Time Elapsed: 23.5s
 Current Slope: -0.9543574
 Number of Data Points: 46
1: {54.0, 302.0}
2: {63.0, 301.0}
3: {60.0, 300.0}
4: {60.0, 302.0}
5: {54.0, 302.0}
6: {60.0, 302.0}
7: {49.0, 302.0}
8: {49.0, 319.0}
9: {42.0, 296.0}
10: {44.0, 300.0}
11: {44.0, 299.0}
12: {42.0, 328.0}
13: {41.0, 299.0}
14: {42.0, 346.0}
15: {38.0, 299.0}
16: {38.0, 309.0}
17: {38.0, 299.0}
18: {33.0, 338.0}
19: {32.0, 339.0}
20: {32.0, 337.0}
21: {34.0, 299.0}
22: {33.0, 296.0}
23: {30.0, 299.0}
24: {30.0, 301.0}
25: {30.0, 301.0}
26: {27.0, 303.0}
27: {27.0, 306.0}
28: {26.0, 305.0}
29: {25.0, 310.0}
30: {23.0, 311.0}
31: {23.0, 316.0}
32: {21.0, 367.0}
33: {21.0, 316.0}
34: {20.0, 320.0}
35: {19.0, 321.0}
36: {19.0, 330.0}
37: {17.0, 330.0}
38: {16.0, 359.0}
39: {13.0, 357.0}
40: {14.0, 339.0}
41: {13.0, 339.0}
42: {13.0, 342.0}
43: {12.0, 342.0}
44: {11.0, 343.0}
45: {10.0, 385.0}
46: {9.0, 350.0}
