 Time Elapsed: 34.0s
 Current Slope: -1.1033603
 Number of Data Points: 67
1: {28.0, 479.0}
2: {29.0, 518.0}
3: {29.0, 498.0}
4: {29.0, 499.0}
5: {29.0, 440.0}
6: {53.0, 527.0}
7: {48.0, 503.0}
8: {34.0, 506.0}
9: {44.0, 513.0}
10: {64.0, 504.0}
11: {45.0, 528.0}
12: {42.0, 504.0}
13: {43.0, 504.0}
14: {46.0, 504.0}
15: {42.0, 507.0}
16: {36.0, 506.0}
17: {39.0, 505.0}
18: {33.0, 507.0}
19: {25.0, 509.0}
20: {25.0, 532.0}
21: {24.0, 513.0}
22: {25.0, 510.0}
23: {25.0, 513.0}
24: {26.0, 513.0}
25: {20.0, 515.0}
26: {21.0, 511.0}
27: {23.0, 507.0}
28: {25.0, 512.0}
29: {20.0, 529.0}
30: {15.0, 452.0}
31: {17.0, 519.0}
32: {16.0, 517.0}
33: {17.0, 522.0}
34: {18.0, 530.0}
35: {21.0, 528.0}
36: {21.0, 531.0}
37: {22.0, 532.0}
38: {22.0, 533.0}
39: {17.0, 535.0}
40: {20.0, 537.0}
41: {20.0, 535.0}
42: {19.0, 536.0}
43: {18.0, 539.0}
44: {17.0, 542.0}
45: {17.0, 561.0}
46: {17.0, 544.0}
47: {18.0, 545.0}
48: {18.0, 542.0}
49: {17.0, 548.0}
50: {16.0, 477.0}
51: {17.0, 548.0}
52: {17.0, 547.0}
53: {16.0, 572.0}
54: {17.0, 547.0}
55: {16.0, 550.0}
56: {15.0, 551.0}
57: {14.0, 578.0}
58: {14.0, 536.0}
59: {14.0, 486.0}
60: {14.0, 554.0}
61: {13.0, 558.0}
62: {11.0, 558.0}
63: {11.0, 562.0}
64: {10.0, 587.0}
65: {10.0, 500.0}
66: {10.0, 568.0}
67: {9.0, 568.0}
